var,index,value,fractionality
Z,"('LH518B_11', 1, 41.0)",0.4376691664135841,0.4376691664135841
Y,"('LH518B_1', 'C0619', 1, 101.0)",0.4364272888893733,0.4364272888893733
Z,"('LH518B_1', 1, 101.0)",0.5635727111106267,0.4364272888893733
Z,"('LH518B_4', 1, 162.0)",0.5639865022407976,0.4360134977592024
Y,"('LH518B_6', 'C0238', 1, 128.0)",0.43540520619712564,0.43540520619712564
Z,"('LH518B_6', 1, 128.0)",0.5645947938028744,0.43540520619712564
Z,"('LH518B_1', 1, 163.0)",0.5646134549008445,0.43538654509915553
Z,"('LH518B_4', 1, 3.0)",0.5660206681544873,0.43397933184551274
Y,"('LH518B_5', 'C0313', 1, 75.0)",0.5699167900094363,0.4300832099905637
Z,"('LH518B_5', 1, 75.0)",0.4300832099905637,0.4300832099905637
Y,"('LH518B_3', 'C0506', 1, 34.0)",0.5702209734081715,0.42977902659182854
Y,"('LH518B_7', 'C0126', 1, 71.0)",0.5702676842967495,0.42973231570325054
Y,"('LH518B_8', 'C0048', 1, 25.0)",0.570307603706837,0.429692396293163
Y,"('LH518B_3', 'C0506', 1, 72.0)",0.5703989583195356,0.4296010416804644
Z,"('LH518B_3', 1, 72.0)",0.4296010416804644,0.4296010416804644
Y,"('LH518B_2', 'C0530', 1, 69.0)",0.5707776509925592,0.42922234900744083
Y,"('LH518B_2', 'C0557', 1, 150.0)",0.42838233569372763,0.42838233569372763
Y,"('LH518B_2', 'C0530', 1, 150.0)",0.5716176643062724,0.42838233569372763
Y,"('LH518B_7', 'C0127', 1, 101.0)",0.5720743031124097,0.4279256968875903
Z,"('LH518B_7', 1, 101.0)",0.4279256968875903,0.4279256968875903
Y,"('LH518B_8', 'C0047', 1, 97.0)",0.42789496989743,0.42789496989743
Z,"('LH518B_8', 1, 97.0)",0.5721050301025701,0.4278949698974299
Y,"('LH518B_8', 'C0082', 1, 149.0)",0.427435569119725,0.427435569119725
Z,"('LH518B_8', 1, 149.0)",0.572564430880275,0.427435569119725
Y,"('LH518B_5', 'C0313', 1, 36.0)",0.572712129996281,0.42728787000371904
Y,"('LH518B_5', 'C0306', 1, 36.0)",0.427287870003719,0.427287870003719
Y,"('LH518B_8', 'C0084', 1, 163.0)",0.5727637413968827,0.4272362586031173
Z,"('LH518B_8', 1, 75.0)",0.572766250278435,0.427233749721565
Y,"('LH518B_7', 'C0119', 1, 23.0)",0.42719114461021473,0.42719114461021473
Z,"('LH518B_3', 1, 114.0)",0.426821240235116,0.426821240235116
Y,"('LH518B_9', 'N2829', 1, 69.0)",0.57816591446236,0.42183408553764
Y,"('LH518B_12', 'N2637', 1, 145.0)",0.5782351459662608,0.4217648540337392
Y,"('LH518B_1', 'C0616', 1, 111.0)",0.5790612648058929,0.42093873519410707
Y,"('LH518B_5', 'C0269', 1, 4.0)",0.4131836417361151,0.4131836417361151
